signup,signup:fname,signup:lname,BirthDate,signup:calendar,signup:email,signup:street,signup:city,signup:state,signup:zip,signup:password,signup:signup.x,signup:signup.y
signup,phu1,phong1,26/08/2019,26/08/2019,phu21@yopmail.com,phu21@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu2,phong2,26/08/2019,26/08/2019,phu22@yopmail.com,phu22@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu3,phong3,26/08/2019,26/08/2019,phu3@yopmail.com,phu3@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu4,phong4,26/08/2019,26/08/2019,phu4@yopmail.com,phu4@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu5,phong5,26/08/2019,26/08/2019,phu5@yopmail.com,phu5@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu6,phong6,26/08/2019,26/08/2019,phu6@yopmail.com,phu6@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu7,phong7,26/08/2019,26/08/2019,phu7@yopmail.com,phu7@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu8,phong8,26/08/2019,26/08/2019,phu8@yopmail.com,phu8@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu9,phong9,26/08/2019,26/08/2019,phu9@yopmail.com,phu9@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu10,phong10,26/08/2019,26/08/2019,phu10@yopmail.com,phu10@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu11,phong11,26/08/2019,26/08/2019,phu11@yopmail.com,phu11@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu12,phong12,26/08/2019,26/08/2019,phu12@yopmail.com,phu12@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu13,phong13,26/08/2019,26/08/2019,phu13@yopmail.com,phu13@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu14,phong14,26/08/2019,26/08/2019,phu14@yopmail.com,phu14@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu15,phong15,26/08/2019,26/08/2019,phu15@yopmail.com,phu15@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu16,phong16,26/08/2019,26/08/2019,phu16@yopmail.com,phu16@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu17,phong17,26/08/2019,26/08/2019,phu17@yopmail.com,phu17@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu18,phong18,26/08/2019,26/08/2019,phu18@yopmail.com,phu18@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu19,phong19,26/08/2019,26/08/2019,phu19@yopmail.com,phu19@yopmail.com,HCM,AZ,1500001,123456789,47,10
signup,phu20,phong20,26/08/2019,26/08/2019,phu20@yopmail.com,phu20@yopmail.com,HCM,AZ,1500001,123456789,47,10
